Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-06-01,66.14295196533203,66.14295196533203,66.14295196533203,66.14295196533203,0,0.0,0
1999-06-02,66.14295196533203,66.14295196533203,66.14295196533203,66.14295196533203,0,0.0,0
1999-06-03,66.14295196533203,66.14295196533203,66.14295196533203,66.14295196533203,0,0.0,0
1999-06-04,64.78336307860371,65.4815366027808,61.2557359078981,63.372314453125,34725,0.0,0
1999-06-07,64.07782393789076,69.70732116699219,64.07782393789076,69.70732116699219,7727,0.0,0
1999-06-08,64.07783508300781,64.07783508300781,64.07783508300781,64.07783508300781,2700,0.0,0
1999-06-09,61.96125793457031,61.96125793457031,61.96125793457031,61.96125793457031,2500,0.0,0
1999-06-10,66.89257013402755,75.34416961669922,66.89257013402755,75.34416961669922,112217,0.0,0
1999-06-11,71.11838662048179,75.34418735679989,71.11838662048179,72.8748550415039,29101,0.0,0
1999-06-14,75.34419920313735,76.74790288153015,73.58039093017578,73.58039093017578,14677,0.0,0
1999-06-15,73.93313871748536,76.74789081448894,72.8748550415039,72.8748550415039,17250,0.0,0
1999-06-16,73.93313665415391,76.04236437263575,72.17667388916016,72.17667388916016,26874,0.0,0
1999-06-17,73.93313665415391,73.93313665415391,71.8239145426808,72.17667388916016,30938,0.0,0
1999-06-18,73.93313665415391,73.93313665415391,72.17667388916016,72.17667388916016,1315,0.0,0
1999-06-21,73.93313665415391,73.93313665415391,71.8239145426808,72.17667388916016,3396,0.0,0
1999-06-22,73.93313665415391,73.93313665415391,72.17667388916016,72.17667388916016,1238,0.0,0
1999-06-23,70.41285643505368,73.93313255845653,70.41285643505368,71.47114562988281,1485,0.0,0
1999-06-24,73.93313255845653,73.93313255845653,70.41285643505368,71.47114562988281,8086,0.0,0
1999-06-25,73.93313255845653,73.93313255845653,71.11838069593696,71.47114562988281,2854,0.0,0
1999-06-28,70.41285643505368,71.47114562988281,70.41285643505368,71.47114562988281,20000,0.0,0
1999-06-29,72.52208403668996,72.52208403668996,71.47114562988281,71.47114562988281,500,0.0,0
1999-06-30,72.52208403668996,72.52208403668996,71.47114562988281,71.47114562988281,1900,0.0,0
1999-07-01,72.52208403668996,72.52208403668996,71.47114562988281,71.47114562988281,1900,0.0,0
1999-07-02,72.52208403668996,72.52208403668996,71.11838069593696,71.47114562988281,11954,0.0,0
1999-07-05,72.52208403668996,72.52208403668996,71.47114562988281,71.47114562988281,1209,0.0,0
1999-07-06,72.52208403668996,72.52208403668996,71.47114562988281,71.47114562988281,468,0.0,0
1999-07-07,72.17666989076609,72.52208403668996,71.47114562988281,71.47114562988281,5805,0.0,0
1999-07-08,72.52208403668996,72.52208403668996,71.47114562988281,71.47114562988281,200,0.0,0
1999-07-09,74.59458923339844,74.59458923339844,74.59458923339844,74.59458923339844,0,0.0,0
1999-07-12,74.59458923339844,74.59458923339844,74.59458923339844,74.59458923339844,0,0.0,0
1999-07-13,74.59458923339844,74.59458923339844,74.59458923339844,74.59458923339844,0,0.0,0
1999-07-14,70.41285643505368,71.47114562988281,70.41285643505368,71.47114562988281,4800,0.0,0
1999-07-15,72.52208805421904,72.52208805421904,70.41286033573721,72.17667388916016,2300,0.0,0
1999-07-16,70.41286033573721,72.52208805421904,70.41286033573721,72.17667388916016,3000,0.0,0
1999-07-19,72.52208805421904,72.52208805421904,72.17667388916016,72.17667388916016,7200,0.0,0
1999-07-20,72.52208805421904,72.52208805421904,72.17667388916016,72.17667388916016,775,0.0,0
1999-07-21,73.93313665415391,73.93313665415391,70.41286033573721,72.17667388916016,8000,0.0,0
1999-07-22,73.93313665415391,73.93313665415391,72.17667388916016,72.17667388916016,500,0.0,0
1999-07-23,70.41286033573721,72.17667388916016,70.41286033573721,72.17667388916016,336,0.0,0
1999-07-26,73.93313665415391,73.93313665415391,72.17667388916016,72.17667388916016,476,0.0,0
1999-07-27,70.41286033573721,72.87485300770712,70.41286033573721,72.17667388916016,29021,0.0,0
1999-07-28,75.32949829101562,75.32949829101562,75.32949829101562,75.32949829101562,0,0.0,0
1999-07-29,70.41286033573721,73.22761235418648,70.41286033573721,72.17667388916016,15652,0.0,0
1999-07-30,76.79932403564453,76.79932403564453,76.79932403564453,76.79932403564453,0,0.0,0
1999-08-02,73.93313896614454,74.28590393066406,73.93313896614454,74.28590393066406,21857,0.0,0
1999-08-03,73.93313896614454,74.28590393066406,73.93313896614454,74.28590393066406,5000,0.0,0
1999-08-04,73.93313896614454,74.28590393066406,73.93313896614454,74.28590393066406,7400,0.0,0
1999-08-05,76.04236675058482,76.04236675058482,74.28590393066406,74.28590393066406,1000,0.0,0
1999-08-06,75.34418761020484,75.34418761020484,74.28590393066406,74.28590393066406,1350,0.0,0
1999-08-09,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-10,76.04236675058482,76.04236675058482,74.28590393066406,74.28590393066406,3500,0.0,0
1999-08-11,75.34418761020484,75.34418761020484,74.28590393066406,74.28590393066406,480,0.0,0
1999-08-12,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-13,76.04236675058482,76.04236675058482,73.93313896614454,74.28590393066406,20000,0.0,0
1999-08-16,76.04236675058482,76.04236675058482,74.28590393066406,74.28590393066406,13500,0.0,0
1999-08-17,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-18,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-19,76.04236675058482,76.04236675058482,74.28590393066406,74.28590393066406,4700,0.0,0
1999-08-20,76.04236675058482,76.04236675058482,74.28590393066406,74.28590393066406,925,0.0,0
1999-08-23,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-24,75.34418761020484,75.34418761020484,74.28590393066406,74.28590393066406,650,0.0,0
1999-08-25,72.52209032208424,74.28590393066406,72.52209032208424,74.28590393066406,495,0.0,0
1999-08-26,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-27,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-30,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-08-31,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-09-01,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-09-02,76.04236675058482,76.04236675058482,74.28590393066406,74.28590393066406,5080,0.0,0
1999-09-03,77.53424072265625,77.53424072265625,77.53424072265625,77.53424072265625,0,0.0,0
1999-09-06,80.47394561767578,80.47394561767578,80.47394561767578,80.47394561767578,0,0.0,0
1999-09-07,73.22761718365716,79.21723175048828,73.22761718365716,79.21723175048828,91,0.0,0
1999-09-08,75.34419022315062,79.21723175048828,75.34419022315062,79.21723175048828,926,0.0,0
1999-09-09,76.74789373424136,79.21723175048828,76.74789373424136,79.21723175048828,188404,0.0,0
1999-09-10,78.86446677373482,80.97369463132338,78.86446677373482,79.21723175048828,16299,0.0,0
1999-09-13,80.26817795326205,80.97370236716229,77.80619049072266,77.80619049072266,5940,0.0,0
1999-09-14,80.26817394990606,80.26817394990606,77.10066223144531,77.10066223144531,2435,0.0,0
1999-09-15,80.97369208533115,80.97369208533115,75.69695281982422,75.69695281982422,12517,0.0,0
1999-09-16,80.26816776101658,80.26816776101658,75.69695281982422,75.69695281982422,16800,0.0,0
1999-09-17,78.15893996974681,78.86446429406139,75.69695281982422,75.69695281982422,1500,0.0,0
1999-09-20,76.74787904698488,79.91539001464844,76.74787904698488,79.91539001464844,1000,0.0,0
1999-09-21,73.93312738155808,79.91539001464844,73.93312738155808,79.91539001464844,2909,0.0,0
1999-09-22,77.4534032584664,79.91539001464844,76.74787904698488,79.91539001464844,3840,0.0,0
1999-09-23,77.4534032584664,80.97367913537472,77.4534032584664,79.91539001464844,153700,0.0,0
1999-09-24,88.55809020996094,88.55809020996094,88.55809020996094,88.55809020996094,0,0.0,0
1999-09-27,81.89234161376953,81.89234161376953,81.89234161376953,81.89234161376953,10000,0.0,0
1999-09-28,83.86193084716797,83.86193084716797,83.86193084716797,83.86193084716797,10000,0.0,0
1999-09-29,83.09028134022374,89.778076171875,83.09028134022374,89.778076171875,11894,0.0,0
1999-09-30,86.61055846993825,89.778076171875,86.08141372126158,89.778076171875,22222,0.0,0
1999-10-01,93.70252990722658,93.70252990722658,93.70252990722658,93.70252990722656,0,0.0,0
1999-10-04,90.8289819037757,92.24003601074219,88.71975994174682,92.24003601074219,39818,0.0,0
1999-10-05,88.71974775116924,98.5750503540039,88.71974775116924,98.5750503540039,21496,0.0,0
1999-10-06,92.24003236088693,99.28057861328125,92.24003236088693,99.28057861328125,8000,0.0,0
1999-10-07,90.82898549596898,91.53451538085938,90.82898549596898,91.53451538085938,1444,0.0,0
1999-10-08,96.64218207748912,103.1535873413086,96.64218207748912,103.1535873413086,7195,0.0,0
1999-10-11,99.98607821263009,106.32109832763672,97.17132735600082,106.32109832763672,38612,0.0,0
1999-10-12,100.6916245537275,105.96836853027344,100.6916245537275,105.96836853027344,4152,0.0,0
1999-10-13,103.50637665418232,109.14322513511456,103.50637665418232,107.3794174194336,31472,0.0,0
1999-10-14,104.21193613311165,110.89971923828125,102.09535730059105,110.89971923828125,21439,0.0,0
1999-10-15,107.02668858457588,110.89971923828125,107.02668858457588,110.89971923828125,3170,0.0,0
1999-10-18,107.7321820616897,112.31075286865236,105.62296012154913,112.31075286865234,13070,0.0,0
