Date,Open,High,Low,Close,Adj Close,Volume
1988-07-01,262.55120849609375,262.55120849609375,262.55120849609375,262.55120849609375,99.31281280517578,0
1988-07-04,264.10931396484375,264.10931396484375,264.10931396484375,264.10931396484375,99.90216827392578,0
1988-07-05,264.8883972167969,264.8883972167969,264.8883972167969,264.8883972167969,100.1968765258789,0
1988-07-06,265.6675109863281,265.6675109863281,265.6675109863281,265.6675109863281,100.49158477783203,0
1988-07-07,264.10931396484375,264.10931396484375,264.10931396484375,264.10931396484375,99.90216827392578,0
1988-07-08,264.8883972167969,264.8883972167969,264.8883972167969,264.8883972167969,100.1968765258789,0
1988-07-11,268.7838134765625,268.7838134765625,268.7838134765625,268.7838134765625,101.67036437988281,0
1988-07-12,268.7838134765625,268.7838134765625,268.7838134765625,268.7838134765625,101.67036437988281,0
1988-07-13,269.5628967285156,269.5628967285156,269.5628967285156,269.5628967285156,101.96502685546875,0
1988-07-14,262.55120849609375,262.55120849609375,262.55120849609375,262.55120849609375,99.31281280517578,0
1988-07-15,261.7720947265625,261.7720947265625,261.7720947265625,261.7720947265625,99.01806640625,0
1988-07-18,260.9930114746094,260.9930114746094,260.9930114746094,260.9930114746094,98.7234115600586,0
1988-07-19,257.09759521484375,257.09759521484375,257.09759521484375,257.09759521484375,97.24994659423828,0
1988-07-20,264.10931396484375,264.10931396484375,264.10931396484375,264.10931396484375,99.90216827392578,0
1988-07-21,262.55120849609375,262.55120849609375,262.55120849609375,262.55120849609375,99.31281280517578,0
1988-07-22,259.434814453125,259.434814453125,259.434814453125,259.434814453125,98.1340103149414,0
1988-07-25,261.7720947265625,261.7720947265625,261.7720947265625,261.7720947265625,99.01806640625,0
1988-07-26,264.10931396484375,264.10931396484375,264.10931396484375,264.10931396484375,99.90216827392578,0
1988-07-27,263.3302917480469,263.3302917480469,263.3302917480469,263.3302917480469,99.60748291015625,0
1988-07-28,263.3302917480469,263.3302917480469,263.3302917480469,263.3302917480469,99.60748291015625,0
1988-07-29,264.10931396484375,264.10931396484375,264.10931396484375,264.10931396484375,99.90216827392578,0
1988-08-01,272.6792907714844,272.6792907714844,272.6792907714844,272.6792907714844,103.14388275146484,0
1988-08-02,271.90020751953125,271.90020751953125,271.90020751953125,271.90020751953125,102.84916687011719,0
1988-08-03,278.9118957519531,278.9118957519531,278.9118957519531,278.9118957519531,105.50141143798828,0
1988-08-04,279.6910095214844,279.6910095214844,279.6910095214844,279.6910095214844,105.79609680175781,0
